GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateLeft90, RotateLeft90, MoveBackward, RotateLeft45
RotateLeft90, RotateRight90, MoveForward, Shoot
Shoot, MoveForward (ignored), MoveBackward, MoveBackward
RotateLeft45, RotateRight45, MoveForward, MoveForward
MoveForward (ignored), MoveForward, MoveBackward, MoveBackward (killed)
MoveForward (ignored), MoveForward, MoveForward, killed
RotateLeft45, Shoot, MoveBackward, killed
MoveForward (ignored), MoveBackward, MoveForward, killed
MoveBackward, MoveForward, MoveBackward, killed
MoveForward, MoveBackward, MoveForward, killed
MoveBackward, MoveForward, MoveBackward, killed
MoveForward, MoveBackward, MoveForward, killed
MoveBackward, MoveForward, MoveBackward, killed
MoveForward, MoveBackward, MoveForward, killed
MoveBackward, MoveForward, MoveBackward, killed
MoveForward, MoveBackward, MoveForward, killed
MoveBackward, MoveForward, MoveBackward, killed
