GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward (killed), RotateLeft90, RotateLeft90, Shoot (killed), Shoot, MoveForward
killed, RotateLeft90, RotateLeft90, killed, RotateRight90, MoveForward
killed, Shoot, Shoot, killed, MoveForward (killed), MoveForward
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
killed, MoveBackward, MoveBackward, killed, killed, MoveForward (ignored)
killed, MoveForward, MoveForward, killed, killed, MoveForward (ignored)
Tie, reached max steps = 50, player 1 has 2 tanks, player 2 has 1 tanks
